address,token_id,balance,contract,name
0x5f20abebe0ba11a9dc0f08e654e416bbee8979f9,105449,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x01b22bb2d473a53fae501c273e6d5592a58a131a,113579512421083993460970127935467476920319421734812135975768749428129065336833,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x1711bc52bf7e0494325799717fe640f1924617b7,113579512421083993460970127935467476920319421734812135975768749429228576964609,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0xe6a620649de76c9a982f56c7147c79b4279ea805,113579512421083993460970127935467476920319421734812135975768749430328088592385,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0xe6a620649de76c9a982f56c7147c79b4279ea805,113579512421083993460970127935467476920319421734812135975768749431427600220161,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x2dd8c08c9259b8b9e5f2119d33c1d41ec3ebe386,113579512421083993460970127935467476920319421734812135975768749432527111847937,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x5068893a404e022a4cbcfa26d17e37efdc4b8c56,113579512421083993460970127935467476920319421734812135975768749433626623475713,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x6b4b60cd239b5b7947c98bb2b9bbd01db5bdf44c,113579512421083993460970127935467476920319421734812135975768749434726135103489,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x5068893a404e022a4cbcfa26d17e37efdc4b8c56,113579512421083993460970127935467476920319421734812135975768749435825646731265,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x6b4b60cd239b5b7947c98bb2b9bbd01db5bdf44c,113579512421083993460970127935467476920319421734812135975768749436925158359041,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0xc49786d5546edef7659621ff1746ca6baf6c50a4,113579512421083993460970127935467476920319421734812135975768749438024669986817,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x5068893a404e022a4cbcfa26d17e37efdc4b8c56,113579512421083993460970127935467476920319421734812135975768749439124181614593,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
0x51a2e95a3f7c2ec7614bd341d704ed1f51ff7f46,113579512421083993460970127935467476920319421734812135975768749440223693242369,1,0x495f947276749ce646f68ac8c248420045cb7b5e,VITIA
